ID,date,DnInv,VC,Item,code,In,Out,Balance
286,8/24/2019,280,Belevader,????? ?????? ?????  96 ??,78153,0,9000,99000
287,8/26/2019,14,Al Rawda ( Farok Saleh),,1003,2500,0,5000
288,8/26/2019,14,Al Rawda ( Farok Saleh),,1003,0,0,5000
289,8/26/2019,14,Al Rawda ( Farok Saleh),???? ????? ????? ?????,1003,2500,0,7500
290,8/26/2019,14,Al Rawda ( Farok Saleh),???? ????? ????? ?????,1002,5000,0,7000
291,8/27/2019,281,Rixos Sharm,???? ????? ????? ?????,1002,0,6000,1000
292,8/27/2019,281,Rixos Sharm,???? ????? ????? ?????,1003,0,4000,3500
293,8/28/2019,283,Cleopatra,??? ???? 180 ??,66175,0,240,1440
294,8/29/2019,184,Aeroangel,???? ?????? ???? 75×75 ×30 ??,54251,0,0,19000
295,8/29/2019,285,Royal Holiday,??? ??????? ???? 300??3,67174,0,120,0
296,8/29/2019,286,Chamilion Aqua Park,????? ???? 110 ??,70152,0,35000,615000
297,8/29/2019,286,Chamilion Aqua Park,??? ?????????? ???? 75 ??3,77251,0,1000,100000
298,8/29/2019,286,Chamilion Aqua Park,??? ???? 180 ??,66175,0,720,720
299,8/29/2019,286,Chamilion Aqua Park,??? ???? 300 ??,66176,0,336,3360
300,8/29/2019,286,Chamilion Aqua Park,??? ???? ??????,66177,0,0,260
301,8/29/2019,286,Chamilion Aqua Park,??? ???? ??????,66177,0,240,20
302,8/29/2019,286,Chamilion Aqua Park,??? ???? ????,22763,0,300,186
303,8/29/2019,7,Ayman El Awamy,??? ???? 300 ??,66176,0,480,2880
304,8/29/2019,284,Aeroangel,???? ?????? ???? 75×75 ×30 ??,54251,0,10000,9000
305,8/29/2019,284,Aeroangel,????? ???? 150,59167,0,2000,3500
306,8/31/2019,287,Chamilion Aqua Park,??? ???? 300 ??,66176,0,144,2736
307,9/1/2019,289,Orintal,????? ???? 110 ??,70152,0,20000,595000
308,9/1/2019,289,Orintal,????? ?????? ?????  96 ??,78153,0,6000,93000
309,9/1/2019,289,Orintal,??? ?????????? ???? 75 ??3,77251,0,10000,90000
310,9/1/2019,290,Mirabel,??? ?????????? ???? 75 ??3,77251,0,10000,80000
311,9/1/2019,291,Aeroangel,???? ???? ????? ????,60272,0,500,0
312,9/1/2019,292,Grand Plaza,????? ???? 110 ??,70152,0,60000,535000
313,9/1/2019,292,Grand Plaza,????? ?????? ?????  96 ??,78153,0,15000,78000
314,9/2/2019,293,Parcelo,??? ???? ??????,66177,0,540,120
315,9/3/2019,294,Parrotel Aqua Park,??? ?????????? ???? 75 ??3,77251,0,20000,60000
316,9/3/2019,294,Parrotel Aqua Park,????? ?????? ?????  96 ??,78153,0,45000,33000
317,9/3/2019,295,Parrotel Beach,????? ????,62155,0,6000,2000
318,9/3/2019,295,Parrotel Beach,??? ???? ??????,66177,0,120,0
319,9/3/2019,295,Parrotel Beach,????? ?????? ?????  96 ??,78153,0,33000,0
320,9/3/2019,295,Parrotel Beach,??? ?????????? ???? 75 ??3,77251,0,8000,52000
321,9/3/2019,295,Parrotel Beach,???? ????,62154,0,10000,26000
322,9/5/2019,15,Medstar,??? ????? ??????,77153,12300,0,12300
323,9/5/2019,15,Medstar,??? ???? 300 ??,66176,2400,0,5136
324,9/5/2019,15,Medstar,??? ??????? ???? 300??3,67174,4500,0,4500
325,9/5/2019,15,Medstar,??? ?????????? ???? 75 ??3,77251,150000,0,202000
326,9/5/2019,15,Medstar,????? ?????? ?????  96 ??,78153,150000,0,150000
327,9/5/2019,15,Medstar,???? ???? ??? 2 ???,51337,200,0,200
328,9/5/2019,15,Medstar,????? ???? ????? ????,62141,60000,0,108000
329,9/5/2019,15,Medstar,???? ?????? ???? 75×75 ×30 ??,54251,6000,0,25000
330,9/5/2019,15,Medstar,????? ?????? ?????  96 ??,78153,216000,0,366000
331,9/5/2019,15,Medstar,???? ??? 2???,51336,200,0,200
332,9/5/2019,15,Medstar,??? ??????? ????,66169,3500,0,4300
333,9/5/2019,15,Medstar,???? ???? ????? ??????,60255,6600,0,10000
334,9/5/2019,15,Medstar,??? ???? 1 ???,20751,1620,0,1620
335,9/5/2019,15,Medstar,??? ???? 1 ????,707512,1080,0,2700
336,9/6/2019,297,Sharm Dreams,??? ??????? ???? 300??3,67174,0,1200,3300
337,9/6/2019,298,Charmillion Club,????? ???? 110 ??,70152,0,20000,515000
338,9/6/2019,298,Charmillion Club,????? ???? ????? ????,62141,0,32000,76000
339,9/6/2019,299,Coral Sea Orintal,????? ?????? ?????  96 ??,78153,0,30000,336000
340,9/6/2019,299,Coral Sea Orintal,??? ?????????? ???? 75 ??3,77251,0,20000,182000
341,9/7/2019,300,Orintal,??? ???? 300 ??,66176,0,960,4176
342,9/8/2019,301,Coral Sea imperial,????? ?????? ?????  96 ??,78153,0,24000,312000
343,9/10/2019,303,Rehana Sharm,????? ???? ????? ????,62144,0,10000,20000
344,9/10/2019,303,Rehana Sharm,????? ???? 110 ??,70152,0,15000,500000
345,9/10/2019,303,Rehana Sharm,???? ??????? ????? ?????,8081,0,12,0
346,9/10/2019,303,Rehana Sharm,?? ??? ????,78313,0,12,176
347,9/10/2019,304,Rehana Royal,????? ???? ????? ????,62144,0,20000,0
348,9/10/2019,304,Rehana Royal,????? ???? 110 ??,70152,0,50000,450000
349,9/10/2019,304,Rehana Royal,???? ????,62154,0,10000,16000
350,9/10/2019,304,Rehana Royal,??? ????  ???,77289,0,72,168
351,9/10/2019,305,Sharm Holiday,??? ???? 180 ??,66175,0,120,600
352,9/10/2019,306,Sharm Reef,??? ???? 300 ??,66176,0,192,3984
353,9/11/2019,308,Aeroangel,???? ???? ????? ??????,60255,0,8000,2000
354,9/11/2019,308,Aeroangel,????? ???? 150,59167,0,3500,0
355,9/13/2019,8,Ayman El Awamy,??? ???? 300 ??,66176,0,288,3696
356,9/13/2019,8,Ayman El Awamy,????? ????? ??????? 60???,2691,0,6,0
357,6/30/2019,306,Medstar,???? ??? ????,72153,1000,0,1270
358,9/6/2019,296,Fayrouz,??? ????? ??????,77153,0,7200,5100
359,9/15/2019,16,Al Rawda ( Farok Saleh),???? ????? ????? ?????,1002,5000,0,6000
360,9/15/2019,16,Al Rawda ( Farok Saleh),???? ????? ????? ?????,1003,2500,0,6000
361,9/8/2019,302,Rixos Seagate,???? ????? ????? ?????,1002,0,5000,-4000
362,9/8/2019,302,Rixos Seagate,???? ????? ????? ?????,1003,0,2500,3500
363,9/16/2019,17,Medstar,??? ???? ??????,66177,3000,0,3000
364,9/16/2019,17,Medstar,??? ???? 180 ??,66175,1800,0,2400
365,9/16/2019,17,Medstar,????? ???? ????? ????,62144,40000,0,40000
366,9/16/2019,17,Medstar,???? ???? ????? ??????,60255,6000,0,8000
367,9/16/2019,17,Medstar,??? ??????? ????,66169,2000,0,6300
368,9/16/2019,17,Medstar,??? ??????? ???? ????,22163,960,0,960
369,9/16/2019,17,Medstar,???? ??????? ????? ?????,8081,54,0,54
370,9/16/2019,17,Medstar,??? ???? ????,22763,1092,0,1278
371,9/16/2019,17,Medstar,??? ???? ??? 200 ??3,59153,25000,0,25000
372,9/16/2019,17,Medstar,????? ??? ????,83150,30,0,30
373,9/4/2019,309,Cleopatra,??? ???? ????  250 ??3,66171,0,432,432
374,9/16/2019,310,Cleopatra,??? ???? ??????,66177,0,480,2520
375,9/16/2019,311,Rixos Seagate,??? ???? ??? 200 ??3,59153,0,25000,0
376,9/16/2019,312,Parcelo,??? ???? ??????,66177,0,1860,1140
377,9/20/2019,313,Sunrise Arabian Beach,??? ???? ??????,66177,0,240,2760
378,9/20/2019,314,Mirabel,??? ?????????? ???? 75 ??3,77251,0,30000,152000
379,9/4/2019,315,Rehana Sharm,???? ??????? ????? ?????,8081,0,0,30
380,9/4/2019,315,Rehana Sharm,?? ?????? 120??,72322,0,0,94
381,9/26/2019,316,Dahabia Dahab,??? ???? 2 ????,20752,0,80,2080
382,9/4/2019,318,Fanara,??? ???? 210 ????,1001,0,0,16000
383,9/4/2019,319,Island View,??? ??????? ???? 300??3,67174,0,0,3000
384,9/4/2019,315,Rehana Sharm,?? ?????? 120??,72322,0,80,94
385,9/29/2019,315,Rehana Sharm,???? ??????? ????? ?????,8081,0,24,54
386,9/29/2019,316,Dahabia Dahab,??? ???? 2 ????,20752,0,80,2080
387,9/29/2019,318,Fanara,??? ???? 210 ????,1001,0,2000,18000
388,9/29/2019,319,Island View,??? ??????? ???? 300??3,67174,0,300,3600
